
 id     r        dr       g        dg        u        du       i        di       z        dz       zspec
30911 17.6706 0.00739652 18.5389 0.00138194 18.1549 0.00590552 17.3135 0.00452803 17.1992 0.00980209 0.08750700 
30928 20.3531 0.0591690 20.5804 0.00374828 19.5329 0.0102225 20.2820 0.0405486 20.3750 0.0919082 2.25500000 
31591 19.8773 0.0521567 20.6549 0.00705709 19.7873 0.0212488 19.6459 0.0272664 19.8212 0.0898597 0.20696900 
33430 17.7496 0.00890746 19.1043 0.00261675 19.0958 0.0176623 17.2205 0.00452664 16.9245 0.00997988 0.16941300 
32770 20.1280 0.0347255 20.5328 0.00380424 19.6054 0.0111718 19.9008 0.0312009 19.9971 0.0731042 2.46610000 
33066 22.3607 0.193593 22.0872 0.0127508 21.0280 0.0325686 21.3748 0.0831559 22.0619 0.242356 0.66368400 
35055 18.9069 0.0220775 21.0763 0.0103091 21.7840 0.108087 18.1188 0.00973384 18.0484 0.0203168 0.42450700 
35248 18.8261 0.0214042 20.7264 0.00889660 21.0921 0.0618433 18.1434 0.00927928 17.9371 0.0208757 0.33011800 
35274 20.0148 0.0534426 21.8805 0.0216989 21.6519 0.0774351 19.2978 0.0250554 19.2761 0.0533458 0.53459300 
36188 17.3171 0.00566373 18.1717 0.000950774 17.6018 0.00335840 16.8843 0.00303944 16.8823 0.00789776 0.14256500 
36367 20.8210 0.0861389 21.6907 0.0100349 20.7689 0.0378291 20.8321 0.0807660 20.7862 0.138126 1.52500000 
36867 19.9960 0.0343663 20.5163 0.00373279 19.2945 0.00853084 19.8062 0.0219917 19.7487 0.0631389 1.64093500 
37327 19.0148 0.0207732 20.0233 0.00430855 19.6270 0.0164119 18.8018 0.0148596 18.5141 0.0297825 0.14655000 
37599 19.1305 0.0270288 21.2958 0.0135079 21.9290 0.103222 18.4400 0.0127797 18.3083 0.0305172 0.37235800 
37643 21.5576 0.0972260 21.4630 0.00728139 19.4551 0.00902836 21.0025 0.0539279 20.8190 0.145160 2.02500000 
38087 17.9416 0.0113473 18.9040 0.00225272 18.4504 0.00902859 17.5960 0.00637237 17.5673 0.0152245 0.12487200 
38339 17.3241 0.00630559 18.5232 0.00167984 18.5028 0.00977081 16.9055 0.00344403 16.7303 0.00789375 0.12545900 
38066 20.1913 0.0512067 20.6920 0.00437996 19.1943 0.00777864 20.4482 0.0368516 19.8973 0.0878319 1.30500000 
38387 18.3172 0.0145879 19.1335 0.00261270 18.5674 0.0107562 18.0617 0.00903138 18.1139 0.0218861 0.12591200 
39356 16.9816 0.00582831 17.9885 0.00150056 17.6312 0.00625506 16.6266 0.00351238 16.4202 0.00748557 0.14967900 
39298 18.1733 0.0129474 18.8237 0.00227886 18.2717 0.00806859 18.0137 0.00870788 17.9366 0.0241754 0.07785200 
39665 16.3986 0.00304131 17.6414 0.000960675 17.7703 0.00550892 15.9781 0.00178280 15.8083 0.00381629 0.12528900 
39432 19.0626 0.0174059 19.7095 0.00190706 18.8187 0.00547094 19.0445 0.0126928 18.9652 0.0285861 0.34139600 
39650 20.2452 0.0404876 20.7636 0.00419262 19.3570 0.00833677 20.1720 0.0303775 20.1014 0.0714395 1.44500000 
39934 19.3218 0.0262805 19.9322 0.00361938 19.3521 0.0114986 19.1978 0.0158212 18.9959 0.0465099 0.16370500 
40752 16.6921 0.00437101 17.9744 0.00133787 17.9734 0.00677121 16.2094 0.00237479 15.9932 0.00507657 0.16373700 
40261 20.2216 0.0502282 20.5861 0.00426150 19.2842 0.00839961 19.9905 0.0378212 20.0851 0.0863078 1.21500000 
40498 21.4409 0.121975 21.8761 0.0119583 20.4162 0.0219202 21.1904 0.0639849 21.9279 0.200771 1.46500000 
41247 19.1894 0.0258077 21.1675 0.0111333 21.5390 0.0795690 18.5114 0.0109807 18.3390 0.0213050 0.48263800 
41721 17.4513 0.00706613 18.5172 0.00139682 18.1764 0.00588223 17.0414 0.00365410 16.9627 0.00910244 0.12637700 
41739 20.1182 0.0526926 21.8382 0.0198955 21.7488 0.0983685 19.1837 0.0210435 18.9985 0.0427525 0.60452100 
42172 17.8641 0.0101300 18.7199 0.00179323 18.2762 0.00711196 17.5687 0.00585905 17.4073 0.0151678 0.08044100 
43014 17.6714 0.0105187 18.5489 0.00179296 18.1018 0.00632083 17.2024 0.00514975 17.0712 0.0124412 0.14747100 
42212 19.6486 0.0384108 21.7366 0.0173158 22.1738 0.127973 19.0224 0.0162522 18.7290 0.0364212 0.47397800 
42942 17.5031 0.00882135 18.6141 0.00210254 18.2444 0.00927625 17.1291 0.00461628 16.8616 0.0109788 0.14919700 
43302 16.0608 0.00331528 17.0667 0.000729463 16.7148 0.00323235 15.6487 0.00180245 15.4184 0.00382486 0.05932800 
42629 20.2233 0.0534271 21.9159 0.0111147 22.0494 0.109947 19.8597 0.0297005 19.4998 0.0595578 4.45500000 
43239 17.3454 0.00591346 18.7707 0.00166563 18.8787 0.00973377 16.9069 0.00322450 16.6168 0.00734513 0.16238500 
43649 16.7632 0.00621174 17.5037 0.00104334 16.8942 0.00323039 16.6074 0.00407143 16.5098 0.0106868 0.05828000 
43274 17.8676 0.00763886 18.9684 0.00168397 18.8384 0.00905998 17.4236 0.00415410 17.2441 0.00963454 0.09184000 
43243 20.6802 0.0758070 21.3212 0.00707408 19.9849 0.0146292 20.8006 0.0644216 21.2177 0.154827 1.15500000 
43333 20.1355 0.0444715 21.5780 0.0124777 21.5581 0.0729660 19.4827 0.0248628 19.3114 0.0390647 0.32860800 
44071 17.9255 0.0102918 18.9546 0.00207296 18.6170 0.00873764 17.4802 0.00541704 17.3729 0.0126345 0.13166000 
43639 20.6637 0.0745202 21.1285 0.00578231 19.6828 0.0115072 20.8087 0.0630742 20.7481 0.148864 1.47500000 
44276 16.1903 0.00236476 17.3786 0.000572667 17.2239 0.00284554 15.7904 0.00136614 15.5854 0.00289553 0.06136100 
44601 18.2010 0.0119074 19.2969 0.00290249 19.0308 0.0119797 17.7462 0.00700227 17.4119 0.0146344 0.14657000 
43996 21.0353 0.0962276 22.5995 0.0209796 23.1951 0.197161 20.4538 0.0492123 20.6198 0.126461 4.23500000 
44285 18.6659 0.0153202 19.3100 0.00232164 18.5107 0.00711013 18.2913 0.00936802 18.4698 0.0285187 0.17757000 
45342 16.4415 0.00366335 17.7349 0.00121696 17.7950 0.00676802 16.0483 0.00215228 15.7480 0.00445372 0.14664800 
45381 15.7474 0.00260959 16.8673 0.000715966 16.7998 0.00367444 15.3514 0.00147728 15.1744 0.00339584 0.05985400 
44536 21.3446 0.0866478 21.8190 0.0104515 20.3759 0.0229235 21.0424 0.0580930 21.2390 0.182959 2.25500000 
44946 20.1019 0.0425215 20.7731 0.00497667 19.4182 0.00972956 19.6739 0.0264772 19.4063 0.0524739 0.48304500 
45256 17.9574 0.0137383 18.9439 0.00305883 18.4288 0.0112495 17.3927 0.00632862 17.4380 0.0176675 0.18817300 
